"","departement","commune","unit.type","location","latitude","longitude","start.date","sheep.measuring.units","sheep.susceptible","sheep.cases","sheep.deaths","sheep.destroyed","sheep.slaughtered","cattle.measuring.units","cattle.susceptible","cattle.cases","cattle.deaths","cattle.destroyed","cattle.slaughtered","goat.measuring.units","goat.susceptible","goat.cases","goat.deaths","goat.destroyed","goat.slaughtered","remark"
"308","MEURTHE-ET-MOSELLE","Pulligny","Farm","Pulligny",48.55,6.15,"16/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"309","PAS-DE-CALAIS","Grand Rullecourt","Farm","Grand Rullecourt",50.25,2.483333,"16/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"310","VIENNE","Vernon","Farm","Vernon",46.45,0.483333,"16/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"311","VIENNE","Bourg-Archambault","Farm","Bourg-Archambault",46.383333,1,"16/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"312","HAUTE-MARNE","CHAMARANDES-CHOIGNES","Farm","CHAMARANDES-CHOIGNES",48.116667,5.133333,"16/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"313","VIENNE","Mazerolles","Farm","Mazerolles",46.4,0.683333,"16/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"314","YONNE","La Ferté-Loupière","Farm","La Ferté-Loupière",47.9,3.233333,"16/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"315","MEURTHE-ET-MOSELLE","Chaouilley","Farm","Chaouilley",48.433333,6.066667,"16/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"316","HAUTE-MARNE","Longeville-sur-la-Laines","Farm","Longeville-sur-la-Laines",48.45,4.683333,"16/02/2012",NA,NA,NA,NA,NA,NA,"Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"317","VIENNE","Sainte-Radegonde","Farm","Sainte-Radegonde",46.616667,0.7,"16/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"318","DEUX-SÈVRES","La Mothe-Saint-Héray","Farm","La Mothe-Saint-Héray",46.366667,-0.1,"16/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"319","HAUTE-VIENNE","Oradour-Saint-Genest","Farm","Oradour-Saint-Genest",46.233333,1.033333,"16/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"320","VIENNE","BETHINES","Farm","BETHINES",46.55,0.983333,"17/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"321","MAINE-ET-LOIRE","Faveraye-Machelles","Farm","Faveraye-Machelles",47.25,-0.5,"17/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"322","HAUTE-VIENNE","Saint-Sornin-Leulac","Farm","Saint-Sornin-Leulac",46.2,1.3,"17/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"323","HAUTE-VIENNE","Tersannes","Farm","Tersannes",46.3,1.116667,"17/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"324","MEURTHE-ET-MOSELLE","Prény","Farm","Prény",48.983333,6,"17/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"325","HAUTE-MARNE","Malaincourt-sur-Meuse","Farm","Malaincourt-sur-Meuse",48.15,5.6,"17/02/2012",NA,NA,NA,NA,NA,NA,"Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"326","CHARENTE","Saint-Saturnin-du-Bois","Farm","Saint-Saturnin-du-Bois",46.133333,-0.666667,"17/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"327","VIENNE","SAINT-MAURICE-LA-CLOUERE","Farm","SAINT-MAURICE-LA-CLOUERE",46.366667,0.416667,"17/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"328","HAUTE-VIENNE","Bussière-Poitevine","Farm","Bussière-Poitevine",46.233333,0.916667,"17/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"329","HAUTE-VIENNE","Saint-Symphorien-sur-Couze","Farm","Saint-Symphorien-sur-Couze",46.05,1.233333,"17/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"330","HAUTE-VIENNE","Dinsac","Farm","Dinsac",46.233333,1.116667,"17/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"331","MEURTHE-ET-MOSELLE","ORMES-ET-VILLE","Farm","ORMES-ET-VILLE",48.483333,6.2,"17/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"332","YONNE","Pourrain","Farm","Pourrain",47.75,3.416667,"17/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"333","HAUTE-MARNE","Rangecourt","Farm","Rangecourt",48.05,5.483333,"17/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"334","VIENNE","Mouterre-sur-Blourde","Farm","Mouterre-sur-Blourde",46.2,0.75,"17/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"335","MEURTHE-ET-MOSELLE","Lironville","Farm","Lironville",48.866667,5.916667,"17/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"336","HAUTE-VIENNE","Mézières-sur-Issoire","Farm","Mézières-sur-Issoire",46.1,0.916667,"17/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"337","HAUT-RHIN","Sainte-Croix-aux-Mines","Farm","Sainte-Croix-aux-Mines",48.266667,7.216667,"17/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"338","SEINE-MARITIME","Foucart","Farm","Foucart",49.616667,0.6,"17/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"339","HAUTE-VIENNE","Saint-Sornin-la-Marche","Farm","Saint-Sornin-la-Marche",46.183333,0.983333,"17/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"340","MEURTHE-ET-MOSELLE","Manoncourt-sur-Seille","Farm","Manoncourt-sur-Seille",48.866667,6.366667,"17/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"341","MOSELLE","Fresnes-en-Saulnois","Farm","Fresnes-en-Saulnois",48.833333,6.433333,"17/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"342","VIENNE","Queaux","Farm","Queaux",46.333333,0.666667,"17/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"343","NIÈVRE","CHATEAU-CHINON(CAMPAGNE)","Farm","CHATEAU-CHINON(CAMPAGNE)",47.05,4.016667,"18/02/2012",NA,NA,NA,NA,NA,NA,"Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"344","OISE","LE PLESSIER-SUR-BULLES","Farm","LE PLESSIER-SUR-BULLES",49.5,2.316667,"18/02/2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animals",NA,NA,NA,NA,NA,"Affected Population"
"345","CHER","CROISY","Farm","CROISY",46.933333,2.8,"19/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"346","VIENNE","MOUSSAC","Farm","MOUSSAC",46.2833,0.6833,"19/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"347","HAUTE-VIENNE","Magnac-Laval","Farm","Magnac-Laval",46.216667,1.166667,"19/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"348","VIENNE","Liglet","Farm","Liglet",46.516667,1.083333,"20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"349","HAUTE-SAÔNE","Aisey-et-Richecourt","Farm","Aisey-et-Richecourt",47.883333,5.95,"20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"350","VIENNE","Sénillé","Farm","Sénillé",46.766667,0.6,"20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"351","SOMME","Bailleul","Farm","Bailleul",50.033333,1.85,"20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"352","MOSELLE","Suisse","Farm","Suisse",48.966667,6.583333,"20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"353","VIENNE","COULONGES","Farm","COULONGES n°2",46.42108,1.12298,"20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"354","VOSGES","Tignécourt","Farm","Tignécourt",48.05,5.9,"20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"355","HAUTE-VIENNE","LIMOGES","Farm","LIMOGES",45.85,1.25,"20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"356","INDRE","LIGNAC","Farm","LIGNAC",46.466667,1.216667,"20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"357","HAUTE-VIENNE","Tersannes","Farm","Tersannes",46.3,1.116667,"20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"358","INDRE","TRANZAULT","Farm","TRANZAULT",46.616667,1.85,"20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"359","VIENNE","COULONGES","Farm","COULONGES n°1",46.42108,1.12298,"20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"360","VOSGES","Domjulien","Farm","Domjulien",48.25,6,"20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"361","SEINE-MARITIME","Saint-Martin-en-Campagne","Farm","Saint-Martin-en-Campagne",49.95,1.233333,"20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"362","VIENNE","Mauprévoir","Farm","Mauprévoir",46.166667,0.516667,"20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"363","HAUTE-VIENNE","Saint-Georges-les-Landes","Farm","Saint-Georges-les-Landes n°1",46.35,1.333333,"20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"364","HAUTE-VIENNE","Glanges","Farm","Glanges",45.666667,1.45,"20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"365","MARNE","Outines","Farm","Outines",48.55,4.65,"20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"366","VIENNE","MOUTERRE-SUR-BLOURDE","Farm","MOUTERRE-SUR-BLOURDE",46.2,0.75,"20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"367","HAUTE-VIENNE","La Bazeuge","Farm","La Bazeuge",46.25,1.1,"20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"368","CHARENTE","Pressignac","Farm","Pressignac",45.833333,0.733333,"20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"369","VIENNE","Saint-Pierre-de-Maillé","Farm","Saint-Pierre-de-Maillé",46.683333,0.85,"20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"370","VIENNE","Saint-Léomer","Farm","Saint-Léomer",46.433333,1,"20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"371","HAUTE-VIENNE","Saint-Georges-les-Landes","Farm","Saint-Georges-les-Landes n°2",46.35,1.333333,"20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"372","MOSELLE","Condé-Northen","Farm","Condé-Northen",49.166667,6.433333,"20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"373","HAUTE-VIENNE","Magnac-Laval","Farm","Magnac-Laval",46.216667,1.166667,"20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"374","HAUTE-VIENNE","Mézières-sur-Issoire","Farm","Mézières-sur-Issoire",46.1,0.916667,"20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"375","VOSGES","Punerot","Farm","Punerot",48.483333,5.816667,"20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"376","INDRE","OULCHES","Farm","OULCHES",46.616667,1.3,"20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"377","HAUTE-VIENNE","Dinsac","Farm","Dinsac",46.233333,1.116667,"20/02/2012",NA,NA,NA,NA,NA,NA,"Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"378","SOMME","Montauban-de-Picardie","Farm","Montauban-de-Picardie",50,2.783333,"20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"379","VOSGES","Senonges","Farm","Senonges",48.15,6.066667,"20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"380","CHARENTE","CONFOLENS","Farm","CONFOLENS",46.016667,0.666667,"20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"381","VIENNE","Vernon","Farm","Vernon",46.45,0.483333,"20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"382","VIENNE","Adriers","Farm","Adriers",46.25,0.8,"20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"383","VIENNE","Gizay","Farm","Gizay",46.433333,0.416667,"20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"384","MEUSE","Villécloye","Farm","Villécloye",49.516667,5.4,"20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"385","AUBE","Morvilliers","Farm","Morvilliers",48.383333,4.616667,"20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"386","VOSGES","Houéville","Farm","Houéville",48.366667,5.816667,"20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"387","YONNE","Andryes","Farm","Andryes",47.516667,3.483333,"20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"388","CHARENTE","Lesterps","Farm","Lesterps",46.016667,0.783333,"20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"389","HAUTE-VIENNE","Blond","Farm","Blond",46.05,1.016667,"20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"390","VIENNE","BRIGUEIL-LE-CHANTRE","Farm","BRIGUEIL-LE-CHANTRE",46.4,1.083333,"20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"391","VIENNE","USSON-DU-POITOU","Farm","USSON-DU-POITOU",46.283333,0.533333,"20/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"392","YONNE","Beauvilliers","Farm","Beauvilliers",47.416667,4.033333,"21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"393","YONNE","Précy-sur-Vrin","Farm","Précy-sur-Vrin",47.966667,3.25,"21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"394","CALVADOS","Saint-Martin-aux-Chartrains","Farm","Saint-Martin-aux-Chartrains",49.316667,0.15,"21/02/2012",NA,NA,NA,NA,NA,NA,"Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"395","MEURTHE-ET-MOSELLE","Maixe","Farm","Maixe",48.65,6.433333,"21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"396","MEUSE","Thonne-le-Thil","Farm","Thonne-le-Thil",49.583333,5.35,"21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"397","NORD","Avesnelles","Farm","Avesnelles",50.116667,3.95,"21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"398","NORD","Rumegies","Farm","Rumegies",50.483333,3.35,"21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"399","SOMME","Biarre","Farm","Biarre",49.716667,2.866667,"21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"400","SEINE-MARITIME","Saint-Vincent-Cramesnil","Farm","Saint-Vincent-Cramesnil",49.5,0.366667,"21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"401","HAUTE-VIENNE","Magnac-Laval","Farm","Magnac-Laval",46.216667,1.166667,"21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"402","INDRE","LE PECHEREAU","Farm","LE PECHEREAU",46.583333,1.55,"21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"403","CHARENTE","Oradour-Fanais","Farm","Oradour-Fanais",46.116667,0.783333,"21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"404","MEURTHE-ET-MOSELLE","Vaudeville","Farm","Vaudeville",48.466667,6.2,"21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"405","SEINE-MARITIME","Baons-le-Comte","Farm","Baons-le-Comte",49.65,0.783333,"21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"406","HAUTE-MARNE","Marcilly-en-Bassigny","Farm","Marcilly-en-Bassigny",47.9,5.516667,"21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"407","HAUTE-MARNE","Anrosey","Farm","Anrosey",47.833333,5.666667,"21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"408","MEUSE","Trémont-sur-Saulx","Farm","Trémont-sur-Saulx",48.75,5.05,"21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"409","NIÈVRE","Donzy","Farm","Donzy",47.283333,3.233333,"21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"410","SEINE-MARITIME","Hugleville-en-Caux","Farm","Hugleville-en-Caux",49.633333,0.983333,"21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"411","VIENNE","Saulgé","Farm","Saulgé n°5",46.383333,0.883333,"21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"412","VOSGES","Belrupt","Farm","Belrupt",48.083333,6.1,"21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"413","ARDENNES","Euilly-et-Lombut","Farm","Euilly-et-Lombut n°1",49.633333,5.116667,"21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"414","ARDENNES","Euilly-et-Lombut","Farm","Euilly-et-Lombut n°2",49.633333,5.116667,"21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"415","ALLIER","Avermes","Farm","Avermes",46.583333,3.3,"21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"416","PAS-DE-CALAIS","CREQUY","Farm","CREQUY",50.483333,2.05,"21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"417","VIENNE","LATHUS-SAINT-REMY","Farm","LATHUS-SAINT-REMY",46.383333,0.883333,"21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"418","INDRE-ET-LOIRE","abilly","Farm","abilly",46.916667,0.8,"21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"419","CALVADOS","Aunay-sur-Odon","Farm","Aunay-sur-Odon",49.016667,-0.633333,"21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"420","HAUTE-MARNE","Chevillon","Farm","Chevillon",48.533333,5.133333,"21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"421","HAUTE-MARNE","Val-de-Meuse","Farm","Val-de-Meuse",47.983333,5.566667,"21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"422","HAUTE-MARNE","Dammartin-sur-Meuse","Farm","Dammartin-sur-Meuse",48.15,5.566667,"21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"423","MOSELLE","Haboudange","Farm","Haboudange",48.883333,6.616667,"21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"424","VIENNE","Saulgé","Farm","Saulgé n°1",46.383333,0.883333,"21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"425","VIENNE","Saulgé","Farm","Saulgé n°3",46.383333,0.883333,"21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"426","VIENNE","Le Vigeant","Farm","Le Vigeant n°1",46.233333,0.65,"21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"427","YONNE","Sainte-Colombe","Farm","Sainte-Colombe",47.566667,3.233333,"21/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
